user_id,feature,used_at
655,Get Paid Early,2025-04-27
26,Round Up,2025-01-11
251,Auto Save,2025-03-14
143,Get Paid Early,2025-02-16
693,Get Paid Early,2025-01-23
605,Overdraft Alerts,2024-09-24
33,Get Paid Early,2024-10-16
96,Auto Save,2025-03-27
239,Get Paid Early,2024-09-09
575,Auto Save,2025-02-21
734,Overdraft Alerts,2025-05-12
226,Overdraft Alerts,2025-07-26
604,Round Up,2025-04-06
829,Get Paid Early,2024-11-02
778,Auto Save,2025-05-22
715,Overdraft Alerts,2025-01-01
349,Round Up,2025-02-26
160,Auto Save,2025-03-01
981,Round Up,2024-12-14
105,Get Paid Early,2025-04-06
390,Get Paid Early,2025-06-07
368,Round Up,2025-03-13
619,Round Up,2024-12-25
827,Get Paid Early,2025-05-15
748,Overdraft Alerts,2024-09-11
550,Get Paid Early,2025-02-18
997,Overdraft Alerts,2024-12-11
81,Round Up,2025-06-29
850,Round Up,2025-03-05
592,Auto Save,2025-01-15
722,Get Paid Early,2025-01-25
47,Auto Save,2025-01-26
792,Round Up,2025-03-13
82,Auto Save,2025-03-04
888,Get Paid Early,2024-08-11
390,Round Up,2024-08-14
465,Round Up,2025-03-29
167,Round Up,2025-05-02
364,Auto Save,2024-09-19
687,Round Up,2024-11-08
719,Get Paid Early,2024-10-04
624,Auto Save,2025-01-20
547,Auto Save,2024-11-05
168,Overdraft Alerts,2025-07-12
389,Round Up,2024-10-05
948,Auto Save,2025-03-03
702,Round Up,2024-08-23
864,Get Paid Early,2024-12-07
235,Get Paid Early,2025-03-03
825,Round Up,2025-02-28
411,Round Up,2025-05-15
68,Auto Save,2024-10-26
936,Round Up,2025-03-30
218,Overdraft Alerts,2024-09-04
406,Overdraft Alerts,2024-08-21
147,Round Up,2024-09-24
143,Auto Save,2025-07-06
763,Round Up,2025-01-11
765,Overdraft Alerts,2025-06-02
920,Overdraft Alerts,2025-05-06
371,Auto Save,2025-06-15
142,Overdraft Alerts,2025-01-31
94,Get Paid Early,2025-03-10
882,Get Paid Early,2025-01-09
157,Auto Save,2025-02-01
812,Overdraft Alerts,2024-11-24
611,Get Paid Early,2025-07-28
395,Overdraft Alerts,2025-06-21
611,Overdraft Alerts,2025-03-12
542,Round Up,2025-03-18
995,Get Paid Early,2025-03-05
697,Get Paid Early,2025-05-20
699,Round Up,2024-12-19
788,Round Up,2024-10-20
115,Round Up,2025-06-30
446,Auto Save,2024-09-04
465,Get Paid Early,2025-05-16
977,Round Up,2024-11-16
996,Auto Save,2024-10-13
520,Get Paid Early,2025-05-03
892,Round Up,2025-07-30
862,Auto Save,2024-11-10
157,Round Up,2024-10-03
781,Auto Save,2024-12-09
553,Get Paid Early,2025-03-18
614,Round Up,2024-11-27
501,Get Paid Early,2024-09-27
115,Round Up,2025-02-05
900,Round Up,2025-02-21
246,Get Paid Early,2024-12-01
247,Get Paid Early,2025-02-01
88,Overdraft Alerts,2025-02-26
836,Get Paid Early,2025-01-01
779,Auto Save,2025-04-09
132,Overdraft Alerts,2025-03-06
970,Auto Save,2025-06-08
272,Overdraft Alerts,2025-05-02
988,Auto Save,2025-02-11
952,Auto Save,2025-07-18
731,Round Up,2025-04-18
409,Round Up,2025-05-30
449,Overdraft Alerts,2025-05-18
124,Auto Save,2024-09-16
231,Get Paid Early,2025-06-07
347,Get Paid Early,2025-05-09
603,Auto Save,2024-09-27
603,Auto Save,2025-02-24
8,Get Paid Early,2024-12-17
725,Get Paid Early,2024-10-04
235,Get Paid Early,2025-05-02
928,Get Paid Early,2025-07-06
881,Round Up,2025-01-18
73,Auto Save,2025-04-24
286,Overdraft Alerts,2024-11-13
220,Auto Save,2024-11-13
741,Overdraft Alerts,2025-05-17
249,Overdraft Alerts,2025-04-21
827,Overdraft Alerts,2025-07-02
195,Get Paid Early,2025-01-19
100,Overdraft Alerts,2024-08-21
363,Overdraft Alerts,2025-07-21
421,Overdraft Alerts,2024-08-09
885,Get Paid Early,2024-12-12
690,Get Paid Early,2024-11-22
63,Overdraft Alerts,2025-06-09
746,Round Up,2024-08-07
820,Get Paid Early,2025-04-06
255,Auto Save,2025-06-26
195,Overdraft Alerts,2025-02-14
144,Overdraft Alerts,2025-05-09
188,Round Up,2025-04-05
474,Auto Save,2025-01-04
896,Get Paid Early,2025-01-07
454,Get Paid Early,2025-01-10
52,Get Paid Early,2024-09-14
993,Get Paid Early,2025-01-12
949,Auto Save,2025-03-21
171,Overdraft Alerts,2025-06-08
498,Overdraft Alerts,2025-02-05
219,Overdraft Alerts,2025-04-16
925,Get Paid Early,2024-08-31
169,Overdraft Alerts,2025-04-20
3,Overdraft Alerts,2024-08-22
272,Overdraft Alerts,2024-10-14
293,Overdraft Alerts,2025-05-01
714,Overdraft Alerts,2025-02-04
159,Auto Save,2025-05-31
304,Auto Save,2025-02-25
992,Get Paid Early,2025-02-06
594,Get Paid Early,2025-07-30
766,Round Up,2024-12-14
59,Get Paid Early,2025-03-18
599,Overdraft Alerts,2025-04-03
515,Auto Save,2025-08-02
59,Get Paid Early,2025-07-16
872,Auto Save,2025-04-17
71,Get Paid Early,2025-02-22
692,Auto Save,2025-06-26
414,Get Paid Early,2024-08-16
965,Auto Save,2025-05-17
593,Get Paid Early,2025-05-14
635,Get Paid Early,2025-06-20
430,Round Up,2025-03-08
958,Round Up,2025-06-30
210,Round Up,2024-08-26
245,Round Up,2024-10-04
406,Auto Save,2025-02-16
688,Round Up,2025-07-26
469,Round Up,2024-11-06
952,Get Paid Early,2025-03-03
10,Overdraft Alerts,2024-12-19
637,Get Paid Early,2025-07-23
76,Auto Save,2024-08-22
519,Round Up,2025-06-12
136,Round Up,2024-08-21
903,Get Paid Early,2025-05-25
901,Auto Save,2025-01-10
379,Round Up,2024-09-07
162,Overdraft Alerts,2025-05-13
854,Round Up,2024-11-10
627,Get Paid Early,2025-06-15
684,Round Up,2024-12-09
955,Get Paid Early,2024-08-23
962,Auto Save,2025-06-18
271,Get Paid Early,2024-09-29
912,Get Paid Early,2025-07-22
761,Auto Save,2024-10-12
279,Round Up,2025-07-05
620,Auto Save,2024-12-18
735,Round Up,2025-06-21
209,Round Up,2025-03-13
518,Overdraft Alerts,2024-08-23
258,Get Paid Early,2024-11-12
95,Overdraft Alerts,2024-11-02
850,Round Up,2024-08-13
46,Get Paid Early,2024-08-14
342,Auto Save,2024-12-31
653,Round Up,2025-07-10
166,Overdraft Alerts,2025-01-26
565,Overdraft Alerts,2025-04-15
575,Get Paid Early,2025-04-30
115,Get Paid Early,2025-05-11
968,Auto Save,2025-03-14
559,Get Paid Early,2024-10-26
855,Round Up,2025-04-24
597,Auto Save,2024-11-27
441,Auto Save,2025-01-07
43,Round Up,2025-04-07
374,Get Paid Early,2025-04-13
921,Round Up,2025-06-05
216,Auto Save,2025-03-14
683,Get Paid Early,2024-08-24
363,Overdraft Alerts,2024-12-08
998,Auto Save,2024-12-24
948,Auto Save,2024-11-30
886,Auto Save,2025-07-06
1000,Auto Save,2025-01-24
903,Overdraft Alerts,2024-10-10
26,Auto Save,2025-02-16
755,Round Up,2024-10-11
802,Overdraft Alerts,2024-10-25
822,Auto Save,2025-02-02
274,Auto Save,2024-08-07
807,Get Paid Early,2025-06-14
392,Get Paid Early,2025-02-20
880,Overdraft Alerts,2025-04-11
228,Auto Save,2025-03-27
837,Overdraft Alerts,2025-04-26
359,Round Up,2025-06-08
841,Auto Save,2025-01-08
229,Get Paid Early,2025-03-31
676,Auto Save,2024-12-29
409,Round Up,2025-04-27
286,Get Paid Early,2024-09-21
991,Round Up,2025-05-18
360,Overdraft Alerts,2025-01-26
696,Round Up,2025-03-31
962,Get Paid Early,2025-02-24
119,Round Up,2024-12-03
183,Round Up,2025-01-07
40,Get Paid Early,2025-06-08
611,Overdraft Alerts,2024-10-29
354,Round Up,2025-05-11
447,Get Paid Early,2024-09-05
395,Auto Save,2024-11-21
261,Get Paid Early,2024-09-23
726,Overdraft Alerts,2025-02-19
2,Auto Save,2025-05-28
373,Overdraft Alerts,2024-12-28
72,Round Up,2024-12-09
639,Round Up,2025-02-23
680,Get Paid Early,2025-02-02
738,Round Up,2025-05-21
520,Round Up,2025-06-20
683,Overdraft Alerts,2024-08-12
335,Overdraft Alerts,2025-06-20
714,Round Up,2024-09-04
568,Auto Save,2024-12-07
197,Overdraft Alerts,2025-03-26
681,Overdraft Alerts,2024-10-12
694,Auto Save,2024-09-12
631,Round Up,2025-01-12
416,Get Paid Early,2025-05-12
312,Round Up,2025-01-26
216,Overdraft Alerts,2025-06-27
805,Round Up,2025-07-28
477,Overdraft Alerts,2025-02-28
453,Auto Save,2024-12-14
524,Overdraft Alerts,2025-06-28
813,Auto Save,2024-08-14
675,Get Paid Early,2024-08-26
291,Round Up,2024-12-19
96,Auto Save,2025-01-23
689,Round Up,2025-04-27
231,Auto Save,2024-08-24
151,Get Paid Early,2025-06-19
48,Auto Save,2025-07-11
487,Get Paid Early,2025-01-22
467,Overdraft Alerts,2025-03-26
908,Auto Save,2024-09-02
736,Overdraft Alerts,2025-07-09
507,Overdraft Alerts,2024-10-18
250,Auto Save,2024-11-26
672,Get Paid Early,2024-09-30
915,Get Paid Early,2024-10-31
798,Overdraft Alerts,2025-04-08
225,Auto Save,2025-07-18
824,Overdraft Alerts,2025-05-11
52,Auto Save,2025-03-17
940,Get Paid Early,2024-10-15
468,Auto Save,2025-07-15
821,Overdraft Alerts,2025-03-11
684,Round Up,2025-03-21
973,Overdraft Alerts,2025-04-08
628,Overdraft Alerts,2025-05-17
851,Overdraft Alerts,2024-09-02
919,Auto Save,2025-06-08
762,Overdraft Alerts,2025-06-12
461,Round Up,2025-05-25
770,Auto Save,2024-11-28
861,Round Up,2024-10-12
785,Overdraft Alerts,2025-05-05
642,Auto Save,2025-02-28
282,Overdraft Alerts,2025-03-03
80,Round Up,2024-12-11
241,Round Up,2024-12-02
344,Round Up,2024-10-27
915,Get Paid Early,2024-10-03
142,Auto Save,2024-12-01
237,Overdraft Alerts,2024-12-18
711,Auto Save,2024-10-14
724,Auto Save,2024-08-26
66,Overdraft Alerts,2024-10-18
418,Round Up,2024-09-22
556,Overdraft Alerts,2025-06-07
426,Get Paid Early,2024-11-27
212,Overdraft Alerts,2024-10-07
399,Get Paid Early,2025-07-03
878,Overdraft Alerts,2024-08-29
489,Get Paid Early,2024-09-02
966,Round Up,2025-08-03
306,Overdraft Alerts,2024-12-28
874,Overdraft Alerts,2024-12-13
552,Auto Save,2024-12-26
500,Auto Save,2024-10-30
280,Overdraft Alerts,2025-07-21
498,Get Paid Early,2024-11-14
399,Round Up,2025-05-07
685,Overdraft Alerts,2024-10-28
742,Auto Save,2024-09-15
861,Overdraft Alerts,2025-02-08
942,Auto Save,2024-09-14
638,Get Paid Early,2025-07-04
929,Overdraft Alerts,2025-02-08
607,Get Paid Early,2024-09-14
86,Overdraft Alerts,2024-11-08
139,Overdraft Alerts,2024-11-07
187,Get Paid Early,2025-02-04
267,Overdraft Alerts,2024-10-22
336,Auto Save,2025-03-04
466,Round Up,2025-01-07
346,Overdraft Alerts,2024-11-06
285,Overdraft Alerts,2025-02-08
259,Get Paid Early,2024-08-18
482,Get Paid Early,2025-04-19
768,Get Paid Early,2025-05-19
975,Round Up,2025-05-29
230,Get Paid Early,2025-01-10
800,Get Paid Early,2024-08-23
773,Get Paid Early,2025-07-28
973,Auto Save,2024-09-17
205,Get Paid Early,2025-03-19
637,Auto Save,2025-01-12
245,Auto Save,2025-01-18
485,Get Paid Early,2025-03-23
578,Auto Save,2025-07-23
477,Round Up,2024-09-21
786,Round Up,2024-09-25
172,Get Paid Early,2025-03-03
797,Auto Save,2025-04-17
988,Round Up,2025-05-12
111,Get Paid Early,2025-02-18
952,Round Up,2024-10-13
590,Overdraft Alerts,2025-05-10
407,Auto Save,2025-06-27
78,Auto Save,2024-08-11
105,Round Up,2025-05-19
871,Get Paid Early,2024-10-15
816,Get Paid Early,2024-11-02
356,Overdraft Alerts,2025-04-05
678,Round Up,2024-12-27
71,Round Up,2025-05-28
13,Overdraft Alerts,2024-08-21
843,Overdraft Alerts,2025-04-27
109,Overdraft Alerts,2024-10-02
984,Round Up,2024-11-02
651,Overdraft Alerts,2025-05-13
725,Auto Save,2025-02-24
446,Auto Save,2025-07-28
752,Round Up,2025-03-02
631,Overdraft Alerts,2024-08-20
477,Overdraft Alerts,2025-01-02
846,Round Up,2025-01-23
331,Auto Save,2024-10-06
851,Get Paid Early,2025-06-26
286,Overdraft Alerts,2025-01-01
250,Overdraft Alerts,2024-09-15
584,Overdraft Alerts,2025-05-07
345,Get Paid Early,2024-12-08
507,Round Up,2024-10-29
187,Overdraft Alerts,2024-11-09
218,Round Up,2025-07-09
817,Round Up,2025-07-26
349,Round Up,2025-04-04
902,Round Up,2024-09-08
570,Get Paid Early,2024-09-20
530,Auto Save,2025-05-09
88,Auto Save,2025-07-19
738,Overdraft Alerts,2024-10-07
501,Auto Save,2025-01-14
708,Overdraft Alerts,2025-06-16
662,Overdraft Alerts,2025-08-01
459,Get Paid Early,2025-04-03
96,Round Up,2025-07-09
227,Overdraft Alerts,2025-06-21
709,Auto Save,2024-08-12
314,Round Up,2024-12-03
485,Round Up,2024-08-22
436,Round Up,2024-12-17
361,Overdraft Alerts,2025-03-27
278,Round Up,2025-06-20
258,Auto Save,2025-06-08
124,Auto Save,2025-01-03
324,Get Paid Early,2024-08-05
761,Auto Save,2025-07-28
197,Auto Save,2024-12-27
757,Overdraft Alerts,2024-11-10
284,Round Up,2025-08-05
103,Auto Save,2024-08-14
304,Auto Save,2025-04-18
370,Auto Save,2025-08-01
310,Get Paid Early,2025-02-10
726,Auto Save,2024-11-03
281,Get Paid Early,2024-09-05
998,Get Paid Early,2025-06-02
567,Round Up,2025-04-06
715,Auto Save,2025-01-16
654,Overdraft Alerts,2025-07-19
106,Get Paid Early,2024-08-30
588,Round Up,2024-11-26
481,Overdraft Alerts,2025-06-02
452,Round Up,2025-02-12
189,Get Paid Early,2025-05-05
259,Overdraft Alerts,2025-05-14
117,Get Paid Early,2024-12-15
411,Overdraft Alerts,2025-05-30
76,Get Paid Early,2025-01-27
156,Auto Save,2025-01-08
831,Round Up,2025-02-28
88,Auto Save,2025-03-31
122,Overdraft Alerts,2024-12-01
621,Auto Save,2024-10-26
795,Overdraft Alerts,2025-07-29
462,Overdraft Alerts,2025-05-30
305,Overdraft Alerts,2024-11-18
313,Get Paid Early,2025-04-18
625,Get Paid Early,2025-06-20
971,Auto Save,2025-07-02
641,Auto Save,2025-04-01
271,Get Paid Early,2024-11-01
161,Auto Save,2024-11-27
178,Get Paid Early,2024-10-04
161,Get Paid Early,2025-04-20
419,Overdraft Alerts,2024-11-27
706,Overdraft Alerts,2024-10-19
299,Get Paid Early,2025-07-02
238,Round Up,2024-11-01
724,Round Up,2024-12-21
720,Overdraft Alerts,2025-03-21
73,Auto Save,2025-06-18
947,Round Up,2025-04-11
807,Auto Save,2024-08-11
436,Get Paid Early,2025-05-15
558,Auto Save,2025-03-08
664,Auto Save,2025-04-18
931,Round Up,2024-10-13
847,Auto Save,2025-03-22
74,Get Paid Early,2025-07-01
170,Round Up,2025-02-17
610,Round Up,2024-11-09
450,Get Paid Early,2025-02-09
480,Round Up,2024-12-03
717,Overdraft Alerts,2025-03-17
966,Round Up,2025-07-17
513,Overdraft Alerts,2025-05-30
449,Get Paid Early,2024-10-16
613,Get Paid Early,2025-04-29
911,Overdraft Alerts,2024-12-22
753,Round Up,2024-08-30
619,Round Up,2024-09-06
27,Get Paid Early,2024-10-16
235,Get Paid Early,2025-01-28
784,Round Up,2024-09-28
591,Get Paid Early,2024-12-27
782,Auto Save,2025-06-12
482,Overdraft Alerts,2024-11-04
939,Round Up,2024-08-27
186,Overdraft Alerts,2025-04-14
651,Overdraft Alerts,2024-10-22
993,Get Paid Early,2025-04-19
482,Round Up,2025-01-06
419,Round Up,2025-01-08
329,Get Paid Early,2024-11-17
879,Auto Save,2025-06-25
338,Overdraft Alerts,2025-04-30
711,Overdraft Alerts,2025-03-04
296,Overdraft Alerts,2024-08-14
834,Get Paid Early,2025-01-09
466,Get Paid Early,2025-01-09
323,Round Up,2025-06-13
332,Get Paid Early,2025-07-31
994,Overdraft Alerts,2024-11-22
886,Get Paid Early,2025-07-14
674,Overdraft Alerts,2024-08-25
424,Get Paid Early,2024-10-02
193,Round Up,2025-07-02
638,Overdraft Alerts,2025-03-13
641,Overdraft Alerts,2024-11-26
779,Get Paid Early,2025-04-15
209,Round Up,2024-11-20
563,Auto Save,2025-07-24
950,Round Up,2025-04-23
449,Overdraft Alerts,2025-01-15
125,Get Paid Early,2024-11-12
997,Auto Save,2024-08-20
727,Auto Save,2025-02-13
319,Get Paid Early,2025-03-27
566,Overdraft Alerts,2024-11-23
96,Auto Save,2024-11-01
862,Get Paid Early,2024-10-28
473,Get Paid Early,2024-08-09
664,Auto Save,2025-01-03
511,Round Up,2024-09-07
522,Round Up,2025-03-26
426,Overdraft Alerts,2025-05-01
484,Auto Save,2025-07-29
468,Auto Save,2024-10-28
393,Auto Save,2025-06-22
944,Auto Save,2025-01-15
885,Get Paid Early,2025-04-22
283,Overdraft Alerts,2025-01-24
349,Round Up,2025-04-22
841,Get Paid Early,2024-11-16
290,Round Up,2025-08-02
858,Overdraft Alerts,2024-09-30
887,Auto Save,2025-02-26
458,Overdraft Alerts,2025-04-21
354,Round Up,2024-09-23
566,Overdraft Alerts,2025-05-27
467,Round Up,2024-08-27
891,Auto Save,2024-12-16
715,Auto Save,2025-06-26
586,Overdraft Alerts,2024-08-17
240,Overdraft Alerts,2025-03-10
45,Round Up,2025-02-14
763,Overdraft Alerts,2025-05-22
723,Overdraft Alerts,2025-03-11
396,Auto Save,2024-12-14
508,Get Paid Early,2024-09-07
130,Round Up,2025-02-12
891,Get Paid Early,2024-12-29
896,Overdraft Alerts,2025-01-15
103,Overdraft Alerts,2024-10-16
16,Auto Save,2025-06-08
420,Auto Save,2025-03-25
77,Overdraft Alerts,2025-05-25
801,Round Up,2025-05-05
347,Overdraft Alerts,2025-02-20
666,Get Paid Early,2025-05-18
873,Round Up,2025-05-01
873,Overdraft Alerts,2025-06-11
978,Round Up,2024-09-19
642,Overdraft Alerts,2024-09-05
894,Get Paid Early,2025-04-13
633,Get Paid Early,2025-07-25
241,Round Up,2025-07-16
233,Get Paid Early,2025-05-03
445,Get Paid Early,2025-06-23
779,Get Paid Early,2024-12-11
455,Auto Save,2024-10-06
711,Round Up,2024-11-11
926,Get Paid Early,2025-02-15
48,Round Up,2025-06-20
816,Get Paid Early,2024-09-26
301,Round Up,2024-12-15
384,Overdraft Alerts,2024-11-10
150,Auto Save,2025-06-26
544,Overdraft Alerts,2024-11-11
580,Auto Save,2024-08-08
175,Auto Save,2025-04-30
81,Overdraft Alerts,2024-11-30
635,Auto Save,2024-12-16
510,Auto Save,2024-08-07
238,Overdraft Alerts,2025-04-03
654,Round Up,2025-02-25
471,Round Up,2025-01-04
683,Get Paid Early,2024-10-22
921,Overdraft Alerts,2024-12-07
923,Round Up,2025-02-27
694,Auto Save,2024-08-11
76,Overdraft Alerts,2025-01-12
968,Round Up,2024-09-05
602,Round Up,2024-11-30
655,Overdraft Alerts,2025-06-06
707,Round Up,2024-10-20
468,Round Up,2025-02-08
204,Overdraft Alerts,2024-10-29
874,Overdraft Alerts,2024-12-04
110,Auto Save,2024-09-24
391,Round Up,2025-03-07
589,Round Up,2024-12-14
717,Round Up,2024-10-23
23,Overdraft Alerts,2025-04-08
282,Get Paid Early,2024-10-01
580,Get Paid Early,2024-10-20
933,Overdraft Alerts,2025-01-28
853,Round Up,2025-04-07
795,Auto Save,2025-01-30
622,Round Up,2025-02-17
225,Auto Save,2024-09-17
636,Round Up,2025-05-15
695,Auto Save,2025-02-09
644,Get Paid Early,2025-02-04
926,Get Paid Early,2024-09-07
317,Overdraft Alerts,2025-06-15
35,Round Up,2024-12-21
750,Auto Save,2025-02-14
93,Round Up,2025-04-16
335,Overdraft Alerts,2024-08-14
180,Auto Save,2024-11-09
136,Round Up,2024-10-22
544,Round Up,2024-09-01
851,Auto Save,2025-01-02
264,Overdraft Alerts,2024-10-14
991,Round Up,2025-06-16
765,Round Up,2024-10-01
824,Get Paid Early,2024-11-28
480,Get Paid Early,2024-08-25
145,Auto Save,2025-07-02
881,Overdraft Alerts,2025-02-15
991,Round Up,2025-01-12
93,Overdraft Alerts,2025-04-26
15,Round Up,2025-06-25
550,Get Paid Early,2025-05-18
466,Round Up,2025-06-20
689,Round Up,2025-02-18
599,Overdraft Alerts,2025-06-11
843,Round Up,2024-09-22
111,Auto Save,2025-01-31
483,Get Paid Early,2025-07-01
635,Round Up,2025-07-16
938,Auto Save,2025-03-23
664,Get Paid Early,2025-03-21
651,Overdraft Alerts,2025-07-25
932,Round Up,2025-07-13
665,Overdraft Alerts,2025-02-25
120,Auto Save,2024-11-20
47,Get Paid Early,2024-09-13
312,Overdraft Alerts,2025-04-02
119,Get Paid Early,2025-04-26
241,Auto Save,2025-07-08
398,Overdraft Alerts,2024-08-28
380,Overdraft Alerts,2025-01-25
602,Auto Save,2025-06-07
907,Overdraft Alerts,2024-12-26
671,Get Paid Early,2024-08-18
854,Overdraft Alerts,2025-01-20
631,Overdraft Alerts,2025-01-31
962,Round Up,2024-12-13
34,Round Up,2025-05-22
223,Overdraft Alerts,2025-07-19
456,Auto Save,2025-03-27
876,Round Up,2025-03-29
102,Round Up,2024-08-22
558,Round Up,2024-11-25
63,Overdraft Alerts,2024-11-22
283,Auto Save,2024-12-19
992,Get Paid Early,2024-10-19
972,Overdraft Alerts,2024-11-13
94,Auto Save,2024-10-22
658,Get Paid Early,2025-01-04
52,Round Up,2025-04-05
250,Auto Save,2025-04-30
806,Auto Save,2024-08-22
71,Auto Save,2025-02-04
601,Auto Save,2024-08-31
833,Auto Save,2025-05-11
337,Auto Save,2025-06-12
808,Get Paid Early,2025-04-07
284,Auto Save,2024-08-14
134,Round Up,2024-09-28
818,Auto Save,2024-09-12
113,Get Paid Early,2024-09-24
135,Get Paid Early,2025-06-03
367,Auto Save,2024-10-04
603,Round Up,2025-05-02
17,Auto Save,2025-03-19
272,Get Paid Early,2025-06-06
130,Overdraft Alerts,2025-07-19
539,Get Paid Early,2025-04-20
764,Get Paid Early,2024-08-16
488,Overdraft Alerts,2024-08-12
797,Round Up,2025-03-01
526,Get Paid Early,2025-01-20
463,Auto Save,2025-06-07
969,Get Paid Early,2025-05-08
745,Round Up,2025-05-26
470,Get Paid Early,2025-05-13
63,Overdraft Alerts,2024-09-07
868,Overdraft Alerts,2025-02-28
437,Get Paid Early,2024-12-09
503,Overdraft Alerts,2025-01-31
76,Get Paid Early,2024-10-20
330,Auto Save,2024-09-27
68,Auto Save,2024-11-17
282,Round Up,2025-01-13
391,Round Up,2025-03-18
465,Overdraft Alerts,2024-10-22
102,Get Paid Early,2024-11-14
874,Auto Save,2024-12-10
441,Overdraft Alerts,2024-11-21
910,Auto Save,2024-08-26
424,Round Up,2025-06-16
848,Overdraft Alerts,2024-10-29
409,Overdraft Alerts,2025-05-12
748,Get Paid Early,2024-10-28
321,Overdraft Alerts,2024-11-07
321,Round Up,2025-07-03
384,Auto Save,2025-01-18
704,Overdraft Alerts,2024-09-11
69,Get Paid Early,2025-02-28
852,Get Paid Early,2024-09-28
96,Overdraft Alerts,2025-04-05
99,Round Up,2024-12-04
832,Auto Save,2025-01-19
570,Get Paid Early,2025-01-20
601,Round Up,2025-07-23
687,Get Paid Early,2025-05-26
421,Round Up,2024-08-22
895,Overdraft Alerts,2025-02-08
889,Get Paid Early,2025-05-03
992,Round Up,2024-09-14
615,Round Up,2024-10-21
361,Get Paid Early,2025-07-24
592,Auto Save,2024-09-20
159,Overdraft Alerts,2024-08-10
230,Get Paid Early,2024-11-02
359,Round Up,2025-05-24
118,Round Up,2025-01-22
588,Auto Save,2024-08-10
827,Overdraft Alerts,2025-04-17
866,Get Paid Early,2025-06-10
624,Round Up,2024-12-05
30,Auto Save,2025-05-27
280,Round Up,2024-11-18
944,Round Up,2025-01-07
360,Get Paid Early,2024-09-11
186,Auto Save,2025-02-05
580,Overdraft Alerts,2024-08-23
